Pattern,Train_count
110001101111001000111111101100010110110100000111,3
000111011101010101000100000110000001111111000011,3
111001001100111100000101000100000000011101000111,3
000100101100011000001111000110000111110011000001,3
001000000111000001100101100100000000010000000101,3
111001001110110100000101000100000000010100100111,3
000110101100010001001111000110000111110011000001,3
001000100011000000111111100100000110110000100101,3
110001111011001000111111001100010110110100000111,3
110001111110110100100101001100010110110100000111,2
110001011111100000111111001100010110110100000111,2
011010011110010000100101000100000001111111000111,2
110001011011100000111111001100010110110100000111,2
110011110011001000111111001100010110110100000110,2
001000100011000001100111100100000010010000101101,2
001000100110100001100101100100000000010000100101,2
110011111011000000111111001100010110110100000111,2
111001001100110101000101000100000000011100000011,2
001000100010000001100111100100000010010000101101,2
001000100110100000100101100100000010010000001101,2
110011111111011100110111001100010110110100000111,2
111001001100010101000100000100000001011100000011,2
001011000111100100100101100100000000111101000101,2
001000100011000001100101100100000000010000100101,2
001000100111000001100101100100000010010000100101,2
111001001101010101000100100100000000010100100011,2
111011001110100100100101100100000000011000000101,2
110001111110101100100111001100010010110100000111,2
111001100011100100100101100100000010010100100111,2
001010100111000001100101100100000000010000100111,2
111001001101010100000101000100000000010100100011,2
001000100111000010111111100100000010010100100101,2
001000000111000001100101100100000001010000000111,2
001010100111000000111111100100000000110100000101,2
001000101111000011111111100100000010010100100101,2
110001011111100100100101001100010010110100000111,2
001000100111100001100101100100000010010000100101,2
001000100111100001100101100100000010010000000101,2
111001100011100100100101101100000110010100100111,2
111001001101010100000101000100000000011100000011,2
011011010111100100100101001100010110110100000111,2
001000100011000001100111100100000010010000100101,2
001010010110000001100101100100000001011001000101,2
011001001100010101000100100100000001011100000011,2
001000100111000010111111100100000010010100100111,2
011000010110000001100101100100000000010000100111,2
110011110010101000111111001100010110110100000110,2
111001001111000000111111100100000010010100000111,2
101000000111100001100101100100000010010000000101,2
001000000111000011101101100100000010010100100111,2
110011111110111100100101001100010110110101000111,2
111001000111000000110111100100000010010100100111,2
110011111111111100100101001100010110110100000111,2
110011111110011100100101001100010110110100000111,2
110001111010111100100101001100010110110100000111,2
110001111010011100100101001100010110110101000111,2
111011010110100100100101100100010010010100000111,2
111001010110100100100101100100010010110100000111,2
111001010110100100100101100100010010011100000111,2
111001010110100100100101101100010010110100000111,2
111011001110110100000101000100000000011101000111,2
111001001110111100000101000100010000011101000111,2
111001101110111100000101000100010010010101000111,2
111000001111000001100111100100000010010100000111,2
111001010111010100100101101100000010010100000111,2
111011111111011100100101001100010110110100000111,2
111011111111011100100101001100010110110101000101,2
001000001111010001101111100100000010010100100111,2
001000001111010001100101100100000000010100100111,2
111011101111011100100101001100010110110100000101,2
101011010111000000111111100100000010110100100111,2
111011111110111100000101001100010100111101000111,2
111011111010111100000101001100010110110101000111,2
011001010111010001100101100100000000010100000111,2
111011111110111100000101001100010100110101000111,2
111011101110111100000101001100010110110100000111,2
111011011100011100000101000100000000011101000111,2
111001011111010000110111100100000010010100000111,2
111001011111010000100111100100000010010100000111,2
110001101111111100101111001100010110110100000111,2
110001110010011100111111001100010110110100000110,2
111011001101010100000101000100000000010101000111,2
011000100110000001100101100100000000010000000101,2
110011011111110100100101001100010110110101000111,2
111001011110110100100111001100010110110100000111,2
111001011110110100100101001100010010110100000111,2
111001001100111100000101000100000000011101000011,2
111011011110010100110101001100010110110100000111,2
111011010111010100110101001100010110110100000111,2
111001010110110100100101101100010110110100000111,2
111011010110010100100101001100010110110100000111,2
111011001100011100000101000100000000011101000011,2
110011111111011100100111001100010110110100000111,2
111001011110011100110111001100010110110100000111,2
111011001100111100000101000100000000011101000111,2
111001011111011100110111001100010110110100000111,2
001010010111000001100101100100000000010000000111,2
111111001111111100000101000100000000111101000111,2
111111001110111100000101000100000000111101000111,2
111011001101011100000100000110000100111111000101,2
110001111010011100100111001100010110110100000111,2
110001111010011100100101001100010110110100000111,2
111011001101011100000100000100000000011111000111,2
001000000110100001100101100100000000010000000101,2
001000010110000001100101100100000000010000000111,2
001000000111100001100101100100000010010000000101,2
110011111010011100100101001100010110110100000111,2
111011001101010100000101000100000000011101000111,2
001010100110100000100101100100000000010000000101,2
111011101110111100000101001100010110110101000111,2
111001001110110100100101000100000000010100000111,2
101011000111100100100101100100000000010100000111,2
010110111100011101000100000110000001111111000001,2
111001001011010000100101100100000010010100100111,2
111011001111101000100111000100010010110100000111,2
000111011100011101000100000110000001111111000011,2
101001000110100100100101100100000000010100000111,2
000110101100010000001111000110010111111011000101,2
001111011100010101000100000110000001111111000001,2
001000100011100000101111100100000010110000001101,2
001110001100010101000100000110000001111111000001,2
011000101011010000100111100100000010010100100111,2
000100101100011000001111000110000111110011001001,2
000110101100000000001111000110010111110011001001,2
000110101100100000001111000110010111111011000001,2
011000101011011000101111100100000110110100000101,2
010111011100010101000100000110000001111111000011,2
010110011100011101000100000110000001011111000011,2
000110101100000000001111000110000111111011000001,2
000110101100010100001111000110000111111011000001,2
001000100011100000100101100100000010010000001101,2
000110101100100000001111000100010111110001001001,2
111001111010010000100101000100000011010100100111,2
111001001110110100100101100100000000011100000111,2
011111001101010101000100000110000001111111000011,2
111001011100010101000101100100000000011100100011,2
101001011111000100100101100100010110110100000111,2
011110101100011101000100000110000001111111000001,2
011011001111100000100101100100000010010100000111,2
011000100010000000111111100100010110110000001101,2
101011001111010000100101100100000000010100100111,2
000111101101011101000100000110000001111111000101,2
000110101101011101000100000110000001111111000001,2
000111101100011101000100000110010001111111000001,2
010111011100111101000100000110000001111111000001,2
