,volume_growth_5,volume_growth_10,Volume_source_date,Actual_trading_day
2020-05-06,-0.5334721066334049,-0.43161616995275465,2020-05-06,True
2020-05-07,-0.47497398030243587,-0.39061461487489013,2020-05-07,True
2020-05-08,-0.2682300407021403,-0.4011753051279793,2020-05-08,True
2020-05-09,-0.2682300407021403,-0.4011753051279793,2020-05-08,False
2020-05-11,-0.1628359658336226,-0.476753261649845,2020-05-11,True
2020-05-12,0.06307443403649149,-0.3373700972956032,2020-05-12,True
2020-05-13,-0.27102186449068,-0.538137911779742,2020-05-13,True
2020-05-14,-0.05385142333542736,-0.3841601745835218,2020-05-14,True
2020-05-15,0.5536386181502602,0.24668360855023974,2020-05-15,True
2020-05-18,1.4931881090475008,1.4457011402567148,2020-05-18,True
2020-05-19,0.05875118664636836,0.19399113042585214,2020-05-19,True
2020-05-20,-0.08907905530373661,0.059800025591099315,2020-05-20,True
2020-05-21,-0.3457356450982655,-0.1974279237749026,2020-05-21,True
2020-05-22,-0.31005099902108246,-0.14052154853306298,2020-05-22,True
2020-05-24,-0.31005099902108246,-0.14052154853306298,2020-05-22,False
2020-05-25,-0.33853722576225886,-0.22012160403056924,2020-05-25,True
2020-05-26,-0.31729832979794437,-0.37221076086465976,2020-05-26,True
2020-05-27,0.04636960000109469,-0.12294898088797024,2020-05-27,True
2020-05-28,8.227508905367387e-05,-0.21894101082941553,2020-05-28,True
