Method,Month,Seed,Stage,Epoch,Weighted_MSE,Train_MSE,Train_MSE_standardized
H240,2020-07,965409,Stacking,39,0.02506922449346384,0.10259326256663753,0.19411143218570787
H240,2020-07,965409,Stacking,40,0.024463042750365593,0.09752035934032552,0.18451325306591115
H240,2020-07,965409,Stacking,41,0.024102149770746765,0.09256085756795646,0.17512963500096448
H240,2020-07,965409,Stacking,42,0.0239203820082748,0.08786415610545,0.1662432478774078
H240,2020-07,965409,Stacking,43,0.023709984892904774,0.08344880470041771,0.15788918871804244
H240,2020-07,965409,Stacking,44,0.02335732989765965,0.07935368090234417,0.15014101573343236
H240,2020-07,965409,Stacking,45,0.0229264483391893,0.07565907244757579,0.14315063721754595
H240,2020-07,965409,Stacking,46,0.022500144481098338,0.07242713695732832,0.13703565840657123
H240,2020-07,965409,Stacking,47,0.02205617914816605,0.06962064524253249,0.13172563986785388
H240,2020-07,965409,Stacking,48,0.02153132503212992,0.06711722258577671,0.12698904269653985
H240,2020-07,965409,Stacking,49,0.020962650234306796,0.06484759707911493,0.12269480108065231
H240,2020-07,965409,Stacking,50,0.020467493842651754,0.06278296725859313,0.11878842125249843
H240,2020-07,965409,Stacking,51,0.020097709596954148,0.06086493494714671,0.11515941102669047
H240,2020-07,965409,Stacking,52,0.019816918177822388,0.058991508005697656,0.11161479632585901
H240,2020-07,965409,Stacking,53,0.019560133515772505,0.057040000036936676,0.10792244853165599
H240,2020-07,965409,Stacking,54,0.019328561654525518,0.05495805300631786,0.10398330370150007
H240,2020-07,965409,Stacking,55,0.019142542574757244,0.05271147531685957,0.09973266967439759
H240,2020-07,965409,Stacking,56,0.018965005895863318,0.05028554134785246,0.09514268486125195
H240,2020-07,965409,Stacking,57,0.018750615863317426,0.04773631523309552,0.09031942532430852
H240,2020-07,965409,Stacking,58,0.01850795830851761,0.04521775861111409,0.0855541939562538
H240,2020-07,965409,Stacking,59,0.018294889004028425,0.042910133271434295,0.0811880548119574
H240,2020-07,965409,Stacking,60,0.018134146418921523,0.04092399297676107,0.07743018097623307
H240,2020-07,965409,Stacking,61,0.017994416374114804,0.03925693145540394,0.07427601966625297
H240,2020-07,965409,Stacking,62,0.017846855584199767,0.03786139272625141,0.07163559265760346
H240,2020-07,965409,Stacking,63,0.017704836653907076,0.03672054343023042,0.06947705041790375
H240,2020-07,965409,Stacking,64,0.01757835961987408,0.03583445768441202,0.06780053318024955
H240,2020-07,965409,Stacking,65,0.01744741817785508,0.03518085367060746,0.06656388266316982
H240,2020-07,965409,Stacking,66,0.017303607227741984,0.03472654805155722,0.06570431438200147
H240,2020-07,965409,Stacking,67,0.017167319134105793,0.034414037573306994,0.06511302938931698
H240,2020-07,965409,Stacking,68,0.01705989001618007,0.03416790816835691,0.06464734060915128
H240,2020-07,965409,Stacking,69,0.016967299656241126,0.033885336797242274,0.0641127018602752
H240,2020-07,965409,Stacking,70,0.016867014238219347,0.033496002669909146,0.0633760627948559
H240,2020-07,965409,Stacking,71,0.016768066303861993,0.033018439111430646,0.062472489363454856
H240,2020-07,965409,Stacking,72,0.016675504189552937,0.03249283855891866,0.061478027607845584
H240,2020-07,965409,Stacking,73,0.016582375264765394,0.03195712257673675,0.06046442696834395
H240,2020-07,965409,Stacking,74,0.016483369014724907,0.03144662302464301,0.05949853703845977
H240,2020-07,965409,Stacking,75,0.016387846663933656,0.030985331327325543,0.05862575075813742
H240,2020-07,965409,Stacking,76,0.016302029113063804,0.03056907586089867,0.057838175212513575
H240,2020-07,965409,Stacking,77,0.016219963981212022,0.03017633570705308,0.057095091779619675
H240,2020-07,965409,Stacking,78,0.01613780532686967,0.029801850950581826,0.05638654844459184
H240,2020-07,965409,Stacking,79,0.016060657173445958,0.029477211810661614,0.05577231543535775
H240,2020-07,965409,Stacking,80,0.015990218107301956,0.029231984049547573,0.05530833260909153
H240,2020-07,965409,Stacking,81,0.01591902883492501,0.029080150989092637,0.055021057089425666
H240,2020-07,965409,Stacking,82,0.01584659963771071,0.029011407178262123,0.054890990462822906
H240,2020-07,965409,Stacking,83,0.015778250120539128,0.02898325405926461,0.05483772339525546
H240,2020-07,965409,Stacking,84,0.01571719202294009,0.028944715790459406,0.05476480712020399
H240,2020-07,965409,Stacking,85,0.015660277767133326,0.028847256525432782,0.05458040946054484
H240,2020-07,965409,Stacking,86,0.015605256044305281,0.02868940225909124,0.05428174152709962
H240,2020-07,965409,Stacking,87,0.015550462402447613,0.028490700197907025,0.05390578758324617
H240,2020-07,965409,Stacking,88,0.015496920444458837,0.028281572078965384,0.05351010703208232
H240,2020-07,965409,Stacking,89,0.015444616106679913,0.028089567039453155,0.05314682417827519
H240,2020-07,965409,Stacking,90,0.0153935124220633,0.027926287234480544,0.052837890862409045
H240,2020-07,965409,Stacking,91,0.01534697230305258,0.027787643930428017,0.05257557100202724
