alpha,mean_training_mse,mean_validation_rmse,mean_validation_mse
0.0002651083601908536,0.20136652306173675,2.2063719192169415,7.45639006385542
0.00026880010215376074,0.2013666324376393,2.2063470021874947,7.456198663788172
0.00027254325312810277,0.2013667486524581,2.2063216574745206,7.4560045292668535
0.000276338529005317,0.20136686418031574,2.206296069170137,7.45580782814544
0.00028018665564591953,0.2013669868907098,2.2062659770503172,7.455601752810042
0.0002840883690183301,0.20136710890032047,2.2062397064262926,7.4553996113140855
0.00028804441533962976,0.2013672351941221,2.2062085342549658,7.455154487824241
0.0002920555512182745,0.2013673715421441,2.2061798952013314,7.454935043848619
0.00029612254379880347,0.20136750403465262,2.2061525546412115,7.45472445643824
0.00030024617090855494,0.20136764020852244,2.206124845297068,7.454510971376005
0.00030442722120643025,0.20136778473262046,2.2060967087430834,7.454294491365023
0.00030866649433372746,0.20136792854285385,2.2060682573316823,7.454075103116589
0.000312964801067075,0.20136808290158434,2.2060359192585532,7.453849403750087
0.00031732296347349763,0.20136823584109215,2.2060066094974204,7.453623845300439
0.00032174181506763714,0.20136839289875055,2.2059709294904977,7.453347694790939
0.000326222200971167,0.20136855835995987,2.205939065693599,7.453102956468513
0.00033076497807442423,0.20136872983260595,2.205908519475106,7.45286793576435
0.0003353710152002929,0.20136890059903512,2.205877606976646,7.452629733507384
0.0003400411932703706,0.2013690751949791,2.205846366049221,7.452388352503495
0.0003447764054734464,0.2013692600705675,2.2058147094677,7.452143660050721
0.0003495775574363275,0.2013694441622488,2.2057826623653756,7.451895644211296
0.0003544455673970436,0.20136963938626598,2.2057501820938805,7.451644219378605
0.00035938136638046257,0.20136983508226175,2.205712003997525,7.4513427027347685
0.00036438589837635443,0.20137004604365433,2.205676722679383,7.4510699612681375
0.00036946012051993025,0.20137024986555732,2.2056417476008963,7.450803437162722
0.0003746050032748993,0.20137046083788857,2.2056075277557543,7.450537972154153
0.0003798215306190736,0.2013706842427871,2.205572907808972,7.450268927973698
0.00038511070023255687,0.20137090748310893,2.2055377444790034,7.449996107255006
0.000390473523688556,0.20137114394592795,2.20550218800022,7.44971962857853
0.00039591102664684585,0.20137138130132132,2.2054604225966203,7.44938921943004
0.0004014242490499322,0.20137163099732006,2.205423953197198,7.449105166718527
0.0004070142453219439,0.20137188592378683,2.2053847215847187,7.448801062950122
0.0004126820845702952,0.20137214963579572,2.2053473173078393,7.448509221762935
0.00041842885079015847,0.20137241255777694,2.205309293670664,7.4482132530327245
