Year,Seed,Budget,Model,Split,N,MAPE,MSE,MSE_standardized
2021,0,100,Base,Test,272,7.447059079653267,1.1862507760179841,0.9203618006379447
2021,0,100,Stacking,Train,2305,3.496244118544964,0.03219992834541428,0.024982562398719137
2021,0,100,Stacking,Test,272,8.4912590863076,1.3313896393468214,1.032968905557426
2021,0,100,DirectReturns,Train,2305,3.526241159041737,0.030544028363328268,0.02369781964448896
2021,0,100,DirectReturns,Test,272,14.460622829157394,2.984369068946371,2.315445726647961
2021,1,100,Base,Train,2305,3.3875648580394477,0.0323798368215219,0.02512214577549572
2021,1,100,Base,Test,272,7.53719944670326,1.056863469808424,0.8199756626221172
2021,1,100,Stacking,Train,2305,3.377235058630576,0.02912869097838538,0.022599719233976363
2021,1,100,Stacking,Test,272,8.71838629608498,1.326063056325199,1.0288362350967295
2021,1,100,DirectReturns,Train,2305,3.26405361354443,0.027381701430371507,0.021244303938482943
2021,1,100,DirectReturns,Test,272,10.240164371231515,1.7504774112317887,1.3581213810332735
2021,21,100,Base,Train,2305,3.3409498920829326,0.032347223093238474,0.02509684216322816
2021,21,100,Base,Test,272,9.00996196694871,1.466580898837854,1.1378580854265838
2021,21,100,Stacking,Train,2305,3.276460860397988,0.027848584848847856,0.02160653903447109
2021,21,100,Stacking,Test,272,10.589195421700614,1.8078112672234885,1.4026042947685708
2021,21,100,DirectReturns,Train,2305,3.5988647328481034,0.032824736130041554,0.025467324330460492
2021,21,100,DirectReturns,Test,272,9.809205952777893,1.6566000170971371,1.2852858817849628
2021,100,100,Base,Train,2305,3.514016898380954,0.03333207996580306,0.02586095095281049
2021,100,100,Base,Test,272,10.684941904610161,1.9972719678374176,1.549598838496076
2021,100,100,Stacking,Train,2305,3.450186932616428,0.029540503595955038,0.022919227224946135
2021,100,100,Stacking,Test,272,11.987791079546769,2.2431813456791474,1.7403895231975879
2021,100,100,DirectReturns,Train,2305,3.4408358726098736,0.029507655930222223,0.022893742110506765
2021,100,100,DirectReturns,Test,272,6.162202044141249,0.7352844681234012,0.5704761174823522
2021,999,100,Base,Train,2305,3.574320051580853,0.034935239796971634,0.027104774854766246
2021,999,100,Base,Test,272,6.144134475508606,0.9137611399925284,0.708948617913279
2021,999,100,Stacking,Train,2305,3.402857679294556,0.02906554462640394,0.022550726650461737
2021,999,100,Stacking,Test,272,6.023292313078607,0.8165613689690853,0.6335354269680823
2021,999,100,DirectReturns,Train,2305,3.378003933227172,0.029754525838818168,0.02308527803039159
2021,999,100,DirectReturns,Test,272,7.198840358843321,1.0037949436558629,0.7788020378925072
2022,42,100,Base,Train,2577,4.105352684743567,0.08844565005365644,0.014943686289767808
2022,42,100,Base,Test,274,18.520321363157763,4.092164631466701,0.6914079376614133
2022,42,100,Stacking,Train,2577,4.633108010297265,0.08247915902731465,0.01393559408744609
2022,42,100,Stacking,Test,274,18.160724332725735,3.9702392099351522,0.6708075435322525
2022,42,100,DirectReturns,Train,2577,4.675496724909236,0.07588246688355732,0.012821023750898374
2022,42,100,DirectReturns,Test,274,30.02832343905138,9.756092691734082,1.648379411658169
2022,7,100,Base,Train,2577,3.979203134682918,0.07931386878648398,0.013400789895873736
2022,7,100,Base,Test,274,43.32479803454865,19.776873201340752,3.341480205460192
